id,contenido,fechaComentario,numLikes,autor_id,publicacion_id
72,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,2024-05-05T10:30:00,72,72,72
73,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,2025-01-27T10:30:00,73,73,73
74,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,2024-11-20T10:30:00,74,74,74
75,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,2025-01-25T10:30:00,75,75,75
76,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,2024-12-01T10:30:00,76,76,76
77,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,2024-12-07T10:30:00,77,77,77
78,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,2025-02-27T10:30:00,78,78,78
79,erat volutpat in congue etiam justo etiam pretium iaculis justo in,2024-03-07T10:30:00,79,79,79
80,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2024-07-03T10:30:00,80,80,80
81,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,2024-09-02T10:30:00,81,81,81
82,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,2024-09-09T10:30:00,82,82,82
83,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,2024-10-05T10:30:00,83,83,83
84,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,2024-08-08T10:30:00,84,84,84
85,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,2024-05-17T10:30:00,85,85,85
86,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,2024-10-01T10:30:00,86,86,86
87,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2024-10-14T10:30:00,87,87,87
88,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,2024-07-01T10:30:00,88,88,88
89,congue elementum in hac habitasse platea dictumst morbi vestibulum velit,2024-10-21T10:30:00,89,89,89
90,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,2024-11-01T10:30:00,90,90,90
91,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,2024-09-21T10:30:00,91,91,91
92,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2024-05-13T10:30:00,92,92,92
93,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,2024-10-28T10:30:00,93,93,93
94,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,2024-04-05T10:30:00,94,94,94
95,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,2024-08-18T10:30:00,95,95,95
96,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,2024-04-03T10:30:00,96,96,96
97,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,2024-08-08T10:30:00,97,97,97
98,felis eu sapien cursus vestibulum proin eu mi nulla ac,2024-08-14T10:30:00,98,98,98
99,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,2024-12-08T10:30:00,99,99,99
100,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,2024-07-15T10:30:00,100,100,100
